,date,quarter,department,day,team,targeted_productivity,smv,wip,over_time,incentive,idle_time,idle_men,no_of_style_change,no_of_workers,actual_productivity,productivity
0,2015-01-01,Quarter1,sewing,Thursday,8,0.8,26.16,1108.0,7080,98,0.0,0,0,59.0,0.940725424,high
1,2015-01-01,Quarter1,finishing,Thursday,1,0.75,3.94,0.0,960,0,0.0,0,0,8.0,0.8865,high
2,2015-01-01,Quarter1,sewing,Thursday,11,0.8,11.41,968.0,3660,50,0.0,0,0,30.5,0.800570492,high
3,2015-01-01,Quarter1,sewing,Thursday,12,0.8,11.41,968.0,3660,50,0.0,0,0,30.5,0.800570492,high
4,2015-01-01,Quarter1,sewing,Thursday,6,0.8,25.9,1170.0,1920,50,0.0,0,0,56.0,0.800381944,high
5,2015-01-01,Quarter1,sewing,Thursday,7,0.8,25.9,984.0,6720,38,0.0,0,0,56.0,0.800125,high
6,2015-01-01,Quarter1,finishing,Thursday,2,0.75,3.94,0.0,960,0,0.0,0,0,8.0,0.755166667,medium
7,2015-01-01,Quarter1,sewing,Thursday,3,0.75,28.08,795.0,6900,45,0.0,0,0,57.5,0.753683478,medium
8,2015-01-01,Quarter1,sewing,Thursday,2,0.75,19.87,733.0,6000,34,0.0,0,0,55.0,0.753097531,medium
9,2015-01-01,Quarter1,sewing,Thursday,1,0.75,28.08,681.0,6900,45,0.0,0,0,57.5,0.750427826,medium
10,2015-01-01,Quarter1,sewing,Thursday,9,0.7,28.08,872.0,6900,44,0.0,0,0,57.5,0.721126957,medium
11,2015-01-01,Quarter1,sewing,Thursday,10,0.75,19.31,578.0,6480,45,0.0,0,0,54.0,0.712205247,medium
12,2015-01-01,Quarter1,sewing,Thursday,5,0.8,11.41,668.0,3660,50,0.0,0,0,30.5,0.707045902,medium
13,2015-01-01,Quarter1,finishing,Thursday,10,0.65,3.94,0.0,960,0,0.0,0,0,8.0,0.705916667,medium
14,2015-01-01,Quarter1,finishing,Thursday,8,0.75,2.9,0.0,960,0,0.0,0,0,8.0,0.676666667,medium
15,2015-01-01,Quarter1,finishing,Thursday,4,0.75,3.94,0.0,2160,0,0.0,0,0,18.0,0.593055556,low
16,2015-01-01,Quarter1,finishing,Thursday,7,0.8,2.9,0.0,960,0,0.0,0,0,8.0,0.540729167,low
17,2015-01-01,Quarter1,sewing,Thursday,4,0.65,23.69,861.0,7200,0,0.0,0,0,60.0,0.52118,low
18,2015-01-01,Quarter1,finishing,Thursday,11,0.7,4.15,0.0,1440,0,0.0,0,0,12.0,0.436326389,low
19,2015-01-03,Quarter1,finishing,Saturday,4,0.8,4.15,0.0,6600,0,0.0,0,0,20.0,0.988024691,high
20,2015-01-03,Quarter1,finishing,Saturday,11,0.75,2.9,0.0,5640,0,0.0,0,0,17.0,0.987880435,high
21,2015-01-03,Quarter1,finishing,Saturday,9,0.8,4.15,0.0,960,0,0.0,0,0,8.0,0.956270833,high
22,2015-01-03,Quarter1,finishing,Saturday,3,0.75,3.94,0.0,1560,0,0.0,0,0,8.0,0.945277778,high
23,2015-01-03,Quarter1,finishing,Saturday,1,0.8,3.94,0.0,960,0,0.0,0,0,8.0,0.902916667,high
24,2015-01-03,Quarter1,sewing,Saturday,1,0.8,28.08,772.0,6300,50,0.0,0,0,56.5,0.800725314,high
25,2015-01-03,Quarter1,sewing,Saturday,3,0.8,28.08,913.0,6540,50,0.0,0,0,54.5,0.800322936,high
26,2015-01-03,Quarter1,sewing,Saturday,8,0.8,26.16,1261.0,7080,50,0.0,0,0,59.0,0.800318644,high
27,2015-01-03,Quarter1,sewing,Saturday,12,0.8,26.16,844.0,7080,63,0.0,0,0,59.0,0.800318644,high
28,2015-01-03,Quarter1,sewing,Saturday,11,0.8,11.61,1005.0,7080,50,0.0,0,0,29.5,0.800237288,high
29,2015-01-03,Quarter1,sewing,Saturday,5,0.8,11.61,659.0,7080,50,0.0,0,0,31.5,0.800148649,high
30,2015-01-03,Quarter1,sewing,Saturday,6,0.8,25.9,1152.0,6720,50,0.0,0,0,56.0,0.800125,high
31,2015-01-03,Quarter1,sewing,Saturday,7,0.8,25.9,1138.0,6720,38,0.0,0,0,56.0,0.800125,high
32,2015-01-03,Quarter1,sewing,Saturday,10,0.75,19.31,610.0,6480,56,0.0,0,0,54.0,0.787299691,medium
33,2015-01-03,Quarter1,finishing,Saturday,2,0.8,4.15,0.0,960,0,0.0,0,0,8.0,0.782447917,medium
34,2015-01-03,Quarter1,sewing,Saturday,2,0.75,19.87,944.0,6600,45,0.0,0,0,55.0,0.75024303,medium
35,2015-01-03,Quarter1,finishing,Saturday,10,0.7,4.15,0.0,960,0,0.0,0,0,8.0,0.7018125,medium
36,2015-01-03,Quarter1,sewing,Saturday,4,0.7,23.69,544.0,13800,0,0.0,0,0,60.0,0.700134038,medium
37,2015-01-03,Quarter1,sewing,Saturday,9,0.7,28.08,1072.0,6900,40,0.0,0,0,57.5,0.699965217,medium
38,2015-01-03,Quarter1,finishing,Saturday,8,0.8,2.9,0.0,960,0,0.0,0,0,8.0,0.628333333,medium
39,2015-01-03,Quarter1,finishing,Saturday,7,0.8,3.94,0.0,960,0,0.0,0,0,8.0,0.6253125,medium
40,2015-01-04,Quarter1,finishing,Sunday,3,0.75,4.15,0.0,1560,0,0.0,0,0,8.0,0.991388889,high
41,2015-01-04,Quarter1,finishing,Sunday,9,0.8,3.94,0.0,960,0,0.0,0,0,8.0,0.931645833,high
42,2015-01-04,Quarter1,finishing,Sunday,1,0.8,3.94,0.0,960,0,0.0,0,0,8.0,0.915229167,high
43,2015-01-04,Quarter1,sewing,Sunday,6,0.8,11.61,539.0,6975,50,0.0,0,0,31.0,0.879714482,high
44,2015-01-04,Quarter1,finishing,Sunday,4,0.8,3.94,0.0,6600,0,0.0,0,0,20.0,0.861679012,high
45,2015-01-04,Quarter1,sewing,Sunday,9,0.8,26.16,1278.0,7080,60,0.0,0,0,59.0,0.850569492,high
46,2015-01-04,Quarter1,sewing,Sunday,7,0.8,25.9,1227.0,7020,60,0.0,0,0,56.5,0.850436438,high
47,2015-01-04,Quarter1,sewing,Sunday,8,0.8,25.9,1039.0,6780,45,0.0,0,0,56.5,0.850345133,high
48,2015-01-04,Quarter1,sewing,Sunday,4,0.8,28.08,878.0,4260,50,0.0,0,0,55.5,0.800598058,high
49,2015-01-04,Quarter1,sewing,Sunday,1,0.8,26.16,1033.0,7080,63,0.0,0,0,59.0,0.800318644,high
50,2015-01-04,Quarter1,sewing,Sunday,2,0.8,28.08,782.0,6660,50,0.0,0,0,55.5,0.800237838,high
51,2015-01-04,Quarter1,sewing,Sunday,12,0.8,11.61,1216.0,6975,50,0.0,0,0,31.0,0.800030199,high
52,2015-01-04,Quarter1,finishing,Sunday,2,0.8,3.94,0.0,960,0,0.0,0,0,8.0,0.792104167,medium
